Sampling sites,1,2,3,4,5,6,7,8,9,12,15,16,17,19,21,23,29,30,35,36,37,38,39
s1,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
s2,0,5,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
s3,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
s4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s5,1,7,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
s6,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s7,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s8,2,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0
s9,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s10,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
s11,0,4,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
s12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s13,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s14,0,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s15,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
s16,0,5,0,3,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
s17,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
s18,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s19,0,3,0,2,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
s20,0,5,0,7,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
s21,0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
s22,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s23,0,22,1,4,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0
s24,0,26,2,5,0,4,0,0,1,0,0,0,0,1,0,5,0,1,1,2,0,0,0
s25,0,12,2,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
s26,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0
s27,0,16,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0
s28,0,13,2,8,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,0,0
s29,0,11,2,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
s30,0,10,0,1,0,0,0,0,0,2,0,0,0,0,1,4,0,1,1,0,0,0,0
s31,0,13,0,5,0,1,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0
s32,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s33,0,3,1,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,2,1,0,0,1
s34,0,10,0,6,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
s35,0,6,0,15,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,3,0,0,1
s36,0,6,0,3,0,3,0,0,0,2,0,3,1,0,0,1,2,0,1,2,1,0,0
s37,1,6,1,39,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,2,0
s38,0,5,0,7,0,1,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0
s39,0,3,1,19,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,1,0
s40,0,4,3,0,0,0,0,1,0,5,0,0,0,0,1,3,0,1,0,2,2,0,0
s41,0,7,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
s42,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
s43,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
s44,0,7,1,1,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0
